id,kode,path,nama,status,permission
1,"home","/","Beranda",1,"home"
2,"home-auth","/home","Beranda",1,"view"
3,"login","/login","Login",1,"login"
4,"logout","/logout","None",1,"logout"
5,"password","/password","Ubah Kata Sandi",1,"password"
6,"user","/user","Daftar User",1,"user"
7,"user-add","/user/add","Tambah User",1,"user-add"
8,"user-edit","/user/{id}/edit","Edit User",1,"user-edit"
9,"user-delete","/user/{id}/delete","Hapus User",1,"user-delete"
10,"user-act","/user/{act}/act","Act User",2,"user"
11,"group","/group","Daftar Group",1,"group"
12,"group-add","/group/add","Tambah Group",1,"group-add"
13,"group-edit","/group/{id}/edit","Edit Group",1,"group-edit"
14,"group-delete","/group/{id}/delete","Hapus Group",1,"group-delete"
15,"group-act","/group/{act}/act","Act Group",2,"group"
16,"user-group","/user/group","Daftar user groups",1,"user-group"
17,"user-group-add","/user/group/add","Tambah user groups",1,"user-group-add"
18,"user-group-edit","/user/group/{id}/edit","Edit user groups",1,"user-group-edit"
19,"user-group-delete","/user/group/{id}/delete","Hapus user groups",1,"user-group-delete"
20,"user-group-act","/user/group/{act}/act","Act user groups",2,"user-group"
21,"routes","/routes","Routes",1,"routes"
22,"routes-add","/routes/add","Tambah route",1,"routes-add"
23,"routes-edit","/routes/{id}/edit","Edit route",1,"routes-edit"
24,"routes-delete","/routes/{id}/delete","Hapus route",1,"routes-delete"
25,"routes-act","/routes/{act}/act","Act route",2,"routes"
26,"group-routes","/group/routes","Group Permission",1,"group-routes"
27,"group-routes-add","/group/routes/add","Tambah group permission",1,"group-routes-add"
28,"group-routes-edit","/group/routes/{id}/{id2}/edit","Edit group permission",1,"group-routes-edit"
29,"group-routes-delete","/group/routes/{id}/{id2}/delete","Hapus group permission",1,"group-routes-delete"
30,"group-routes-act","/group/routes/{act}/act","Act Group Permission",2,""group-routes"
31,"upload-logo","/upload/logo","Unggah Logo",1,""upload-logo"
